,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
37,ACCO,Acco Brands Corporation,5.78,-4.46%,-0.27,771516.0,4459000.0,548622000.0,-6.56%,N/A,-0.29,6000.0,Producer Manufacturing
38,ACDC,ProFrac Holding Corp.,12.70,2.09%,0.26,597380.0,7587000.0,2019000000.0000002,-18.50%,8.36,1.52,3664.0,Industrial Services
39,ACEL,"Accel Entertainment, Inc.",11.38,-0.35%,-0.04,183570.0,2089000.0,974308000.0,-5.09%,18.34,0.62,1300.0,Consumer Services
40,ACER,Acer Therapeutics Inc.,0.7441,-2.10%,-0.0160,106149.0,78985.0,18082000.0,-20.63%,N/A,-1.80,N/A,Health Technology
41,ACET,"Adicet Bio, Inc.",2.10,-4.55%,-0.10,465678.0,977924.0,90211000.0,-86.29%,N/A,-2.53,N/A,Health Technology
42,ACGL,Arch Capital Group Ltd.,77.05,0.92%,0.70,1605000.0,123648000.0,28736000000.0,72.76%,12.94,6.05,5800.0,Finance
43,ACGN,"Aceragen, Inc.",0.5800,34.88%,0.1500,1423000.0,825155.0,4884000.0,-84.81%,N/A,,N/A,Health Technology
44,ACHC,"Acadia Healthcare Company, Inc.",75.73,-0.80%,-0.61,264608.0,20039000.0,6980000000.0,-2.68%,25.65,3.00,23000.0,Health Services
45,ACHR,Archer Aviation Inc.,5.76,0.88%,0.05,3252000.0,18729000.0,1420000000.0,34.14%,N/A,-1.53,N/A,Electronic Technology
46,ACHV,"Achieve Life Sciences, Inc.",5.32,-1.85%,-0.10,27255.0,144997.0,111937000.0,137.96%,N/A,-3.77,N/A,Health Technology
47,ACI,"Albertsons Companies, Inc.",21.69,0.00%,0.00,1088000.0,23588000.0,12486000000.0,-18.09%,10.68,2.09,290000.0,Retail Trade
