,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
26,000034,DIGITAL CHINA GROU,28.43,3.46%,0.95,54749000.0,1557000000.0,18058000000.0,37.38%,17.95,1.59,5279.0,Electronic Technology
27,000035,CHINA TIANYING INC,5.37,-1.47%,-0.08,15355000.0,82454000.0,13755000000.0,-25.85%,101.13,0.05,17985.0,Industrial Services
28,000036,CHINA UNION HOLD L,4.25,-0.70%,-0.03,8715000.0,37038000.0,6369000000.0,10.88%,14.65,0.29,N/A,Finance
29,000037,SHENZHEN NANSHAN P,10.35,-2.82%,-0.30,16443000.000000002,170183000.0,4176999999.9999995,19.16%,N/A,-0.25,N/A,Utilities
30,000039,CHINA INTL MARINE,7.43,-0.54%,-0.04,8023000.0,59613000.0,31275000000.0,-22.19%,25.96,0.31,51543.0,Process Industries
31,000040,TUNGHSU AZURE RENE,4.17,-1.65%,-0.07,15301000.0,63807000.0,6304000000.0,7.07%,N/A,-0.16,N/A,Transportation
32,000042,SHN CENTRALCON INV,8.28,-0.12%,-0.01,3807000.0,31524000.0,5519000000.0,-2.24%,52.81,0.16,2699.0,Consumer Durables
33,000045,SHN TEXTILE HLDGS,10.11,-1.27%,-0.13,1975000.0,19970000.0,4850000000.0,32.65%,74.45,0.14,1575.0,Consumer Durables
34,000046,OCEANWIDE HOLDINGS,1.45,-0.68%,-0.01,50397000.0,73075000.0,7586000000.0,6.57%,N/A,-2.32,5465.0,Finance
35,000048,SHENZHEN KINGKEY S,20.45,-0.73%,-0.15,3277000.0,67019000.00000001,10777000000.0,12.57%,5.01,4.08,N/A,Finance
36,000049,SHENZHEN DESAY BAT,34.13,-1.36%,-0.47,1831000.0,62482000.0,10261000000.0,-20.88%,12.99,2.63,11074.0,Producer Manufacturing
37,000050,TIANMA MICROELECTR,9.32,-1.06%,-0.10,4994000.0,46546000.0,23152000000.0,-5.61%,N/A,-0.26,25782.0,Electronic Technology
38,000055,CHINA FANGDA GP CO,4.97,-1.58%,-0.08,6548000.0,32542000.0,4167000000.0,0.88%,17.23,0.29,2917.0,Producer Manufacturing
39,000056,SHENZHEN WONGTEE I,3.89,-1.27%,-0.05,13041000.0,50731000.0,3742000000.0,-27.65%,N/A,-1.06,N/A,Finance
40,000058,SHN SEG CO,6.63,-1.04%,-0.07,5215000.0,34575000.0,6985000000.0,8.82%,539.02,0.01,11242.0,Electronic Technology
41,000059,NORTH HUAJIN CHEMI,6.39,-0.93%,-0.06,5802000.0,37075000.0,10316000000.0,7.86%,N/A,-0.16,8294.0,Energy Minerals
42,000060,SHN ZHONGJIN LINGN,5.65,-2.92%,-0.17,61344000.0,346595000.0,21754000000.0,33.49%,20.18,0.32,9743.0,Distribution Services
43,000061,SHENZHEN AGRICULTU,6.96,-1.42%,-0.10,8513000.0,59248000.0,11981000000.0,22.36%,54.46,0.13,4778.0,Process Industries
44,000062,SHN HUAQIANG IND,11.75,-0.68%,-0.08,2743000.0,32226000.0,12373000000.0,-6.48%,14.32,0.82,2510.0,Distribution Services
45,000063,ZTE CORP,36.89,-1.39%,-0.52,72510000.0,2675000000.0,169294000000.0,52.65%,20.54,1.80,74811.0,Electronic Technology
46,000065,NORINCO INTL CO,16.93,1.32%,0.22,18604000.0,314966000.0,16739000000.0,126.12%,23.55,0.72,1922.0,Distribution Services
