,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
74,1129,CHINA WATER INDUSTRY GROUP LTD.,0.162,-6.36%,-0.011,179600.0,29095.0,497134000.0,-5.46%,N/A,-0.04,1026.0,Utilities
75,113,DICKSONS CONCEPT INTERNATIONAL,4.39,-0.45%,-0.02,9000.0,39510.0,1738000000.0,8.35%,6.85,0.64,N/A,Retail Trade
76,1132,ORANGE SKY GOLDEN HARVEST ENTERTAIN,0.065,0.00%,0.000,360000.0,23400.0,181978000.0,-2.99%,N/A,-0.02,N/A,Consumer Services
77,1133,HARBIN ELECTRIC CO LTD,2.76,-0.36%,-0.01,1446000.0,3991000.0,4727000000.0,22.03%,40.89,0.07,13500.0,Producer Manufacturing
78,1134,KELFRED HOLDINGS LTD,0.61,-3.17%,-0.02,28000.0,17080.0,315000000.0,-3.08%,33.15,0.02,1006.9999999999999,Health Technology
79,1137,HONG KONG TECHNOLOGY VENTURE CO LTD,4.39,1.15%,0.05,394000.0,1730000.0,4010000000.0,-7.64%,19.61,0.23,2186.0,Retail Trade
80,114,HERALD HOLDINGS,0.495,0.00%,0.000,10000.0,4950.0,299223000.0,3.13%,3.63,0.14,3249.0,Consumer Durables
81,1140,WEALTHKING INVESTMENTS LTD,0.205,2.50%,0.005,28000.0,5740.0,2104000000.0,-45.38%,7.82,0.03,N/A,Finance
82,1141,CMBC CAPITAL HOLDINGS LTD,1.04,2.97%,0.03,308000.0,320320.0,1133000000.0,-42.08%,N/A,-0.38,N/A,Industrial Services
83,1142,E&P GLOBAL HOLDINGS LTD,0.460,0.00%,0.000,8000.0,3680.0,66708000.0,-43.90%,0.13,3.79,N/A,Distribution Services
84,1143,LINK ASIA INTL MEDTECH GP LTD,2.05,0.49%,0.01,147480.0,302334.0,351960000.0,194.38%,N/A,-0.48,1025.0,Consumer Durables
85,1145,COURAGE INVESTMENT GROUP LTD,0.072,0.00%,0.000,1000000.0,72000.0,79035000.0,-33.33%,9.00,0.01,N/A,Transportation
